Global,,57882183,7414.793685982413,4060891,604943,1377395,176.44634704091493,67221,9237,
United States of America,Americas,11789012,35616.07,1147581,191033,252460,762.71,9918,1853,Community transmission
India,South-East Asia,9095806,6591.14,281227,45209,133227,96.54,3592,501,Clusters of cases
Brazil,Americas,6020164,28322.26,209512,38397,168613,793.25,3876,552,Community transmission
France,Europe,2089353,32009.2,171008,17854,48170,737.97,4257,253,Community transmission
Russian Federation,Europe,2089329,14316.9,163504,24581,36179,247.91,2993,401,Clusters of cases
Spain,Europe,1556730,33295.63,64540,0,42619,911.54,1191,0,Community transmission
The United Kingdom,Europe,1493387,21998.45,149027,19875,54626,804.67,2860,340,Community transmission
Italy,Europe,1380531,22833.1,235979,34764,49261,814.75,4578,692,Clusters of cases
Argentina,Americas,1359042,30070.11,62664,9608,36790,814.01,1745,258,Community transmission
Colombia,Americas,1233444,24240.84,50747,7954,34929,686.46,1260,168,Community transmission
Mexico,Americas,1025969,7957.4,28576,6426,100823,781.98,3199,719,Community transmission
Peru,Americas,946087,28693.78,13437,2170,35484,1076.19,378,38,Community transmission
Germany,Europe,918269,10959.96,127766,15741,14022,167.36,1537,138,Clusters of cases
Poland,Europe,843475,22286.67,152357,24213,13288,351.1,3243,574,Community transmission
Iran (Islamic Republic of),Eastern Mediterranean,841308,10016.41,91783,12931,44327,527.75,3293,431,Community transmission
South Africa,Africa,765409,12905.51,16227,2646,20845,351.47,639,86,Community transmission
Ukraine,Europe,624744,14285.16,88887,12079,10951,250.4,1348,138,Community transmission
Belgium,Europe,556808,48043.67,19148,2,15522,1339.3,970,12,Community transmission
Chile,Americas,539143,28203.46,9467,1558,15030,786.24,253,27,Community transmission
Iraq,Eastern Mediterranean,533555,13265.09,16640,1786,11925,296.48,302,42,Community transmission
Indonesia,South-East Asia,493308,1803.53,30301,4998,15774,57.67,626,96,Community transmission
Czechia,Europe,490750,45826.02,32521,3187,7095,662.53,1037,74,Community transmission
Netherlands,Europe,478678,27935.9,36751,6062,8858,516.96,426,48,Community transmission
Bangladesh,South-East Asia,445281,2703.76,14785,1847,6350,38.56,177,28,Community transmission
Turkey,Europe,440805,5226.58,29750,5532,12219,144.88,801,135,Community transmission
Philippines,Western Pacific,416852,3804.05,10515,1785,8080,73.74,289,55,Community transmission
Romania,Europe,412808,21458.29,59623,9685,9916,515.45,1103,160,Community transmission
Pakistan,Eastern Mediterranean,371508,1681.85,17047,2843,7603,34.42,494,42,Clusters of cases
Saudi Arabia,Eastern Mediterranean,355034,10198.06,2084,221,5761,165.48,120,16,Sporadic cases
Israel,Europe,327327,37817.07,3871,0,2744,317.02,13,0,Community transmission
Morocco,Eastern Mediterranean,320962,8695.67,32751,4702,5256,142.4,559,74,Clusters of cases
Canada,Americas,320719,8497.63,33401,4968,11334,300.3,506,69,Community transmission
Switzerland,Europe,289483,33448.37,29038,0,3567,412.15,546,0,Community transmission
Portugal,Europe,255970,25103.2,44704,6472,3824,375.02,519,62,Clusters of cases
Austria,Europe,240909,26748.65,42693,6239,2155,239.27,526,58,Community transmission
Nepal,South-East Asia,218639,7503.88,10340,1674,1305,44.79,90,7,Clusters of cases
Sweden,Europe,208295,20624.77,23307,0,6406,634.3,99,0,Community transmission
Ecuador,Americas,184876,10478.68,5249,1036,13139,744.71,142,44,Community transmission
Jordan,Eastern Mediterranean,178161,17461.4,36856,3826,2172,212.88,468,56,Community transmission
Hungary,Europe,174618,18075.74,33657,4320,3800,393.36,703,111,Community transmission
Kazakhstan,Europe,166625,8874.03,5377,913,2365,125.95,0,0,Clusters of cases
